id,name,date_to,date_from,calendar_id/id,resource_id/id
__import__.af_calendar_leaves_2020-4-9,Skärtorsdag,2020-04-10 00:00:00,2020-04-09 14:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-4-10,Långfredag,2020-04-11 00:00:00,2020-04-10 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-4-13,Annan dag påsk,2020-04-14 00:00:00,2020-04-13 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-4-30,Valborgsmässoafton,2020-05-01 00:00:00,2020-04-30 14:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-5-1,Arbetets dag,2020-05-02 00:00:00,2020-05-01 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-5-21,Kristi Himmelsfärd,2020-05-22 00:00:00,2020-05-21 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-6-19,Midsommar,2020-06-20 00:00:00,2020-06-19 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-10-30,Allhelgona afton,2020-10-31 00:00:00,2020-10-30 12:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-12-24,Julafton,2020-12-25 00:00:00,2020-12-24 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-12-25,Juldagen,2020-12-26 00:00:00,2020-12-25 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2020-12-31,Nyårsafton,2021-01-01 00:00:00,2020-12-31 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-1-1,Nyårsdagen,2021-01-02 00:00:00,2021-01-01 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-1-5,Trettondagsafton,2021-01-06 00:00:00,2021-01-05 12:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-1-6,Trettondagen,2021-01-07 00:00:00,2021-01-06 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-4-1,Skärtorsdag,2021-04-02 14:00:00,2021-04-01 14:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-4-2,Långfredag,2021-04-03 00:00:00,2021-04-02 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-4-5,Annan dag påsk,2021-04-06 00:00:00,2021-04-05 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-4-30,Valborgsmässoafton,2021-05-01 00:00:00,2021-04-30 12:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-5-1,Arbetets dag,2021-05-02 00:00:00,2021-05-01 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-5-13,Kristi Himmelsfärd,2021-05-14 00:00:00,2021-05-13 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-6-6,Nationaldag,2021-06-07 00:00:00,2021-06-06 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-6-25,Midsommarafton,2021-06-26 00:00:00,2021-06-25 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-6-26,Midsommar,2021-06-27 00:00:00,2021-06-26 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-11-5,Allhelgona afton,2021-11-06 00:00:00,2021-11-05 12:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-12-24,Julafton,2021-12-25 00:00:00,2021-12-24 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-12-25,Juldagen,2021-12-26 00:00:00,2021-12-25 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-12-26,Annandag jul,2021-12-27 00:00:00,2021-12-26 00:00:00,resource.resource_calendar_std,
__import__.af_calendar_leaves_2021-12-31,Nyårsafton,2022-01-01 00:00:00,2021-12-31 00:00:00,resource.resource_calendar_std,
